loss_func_list,grad_norm_list
5.915103573000764e-26,9.536743164167812e-07
4.4717958030142274e-26,1.9073486328150957e-06
5.319352485519052e-26,4.585065711609581e-13
2.956893436237842e-26,1.90734863281329e-06
6.950669334454026e-26,9.536743164071864e-07
5.30910557524994e-26,1.9073486328165963e-06
3.2327662511069446e-26,1.907348632816611e-06
7.11406242870777e-26,1.5686749673881506e-12
1.3912783392046776e-25,9.536743164098897e-07
4.099203787821569e-26,1.9073486328140187e-06
1.0840098232727513e-25,9.536743164068874e-07
1.0794647297153195e-25,9.53674316412856e-07
2.8576209920684133e-26,1.907348632814364e-06
7.825692888342672e-26,9.536743164113258e-07
8.853095759430695e-26,2.1695651902158146e-12
1.109698263982907e-25,9.536743164108464e-07
3.124932335740635e-26,1.907348632813074e-06
1.1025334482927468e-25,9.53674316423734e-07
5.065557347085489e-26,4.171121892835278e-12
6.641646161527667e-26,9.536743164094086e-07
2.3023902765400433e-25,9.536743164066096e-07
1.4806502227165432e-25,9.53674316412253e-07
2.93977883889853e-25,9.536743164084582e-07
2.264679957709149e-25,9.536743164565663e-07
6.973586947456912e-26,1.907348632819089e-06
1.1994187735555157e-25,4.037208534206223e-12
2.032816680666141e-25,1.616355884047855e-12
7.811145241692647e-26,1.9073486328273447e-06
6.784941570143797e-26,2.86102294922541e-06
5.980334916513657e-26,1.4650281592434877e-12
9.162610949679947e-26,9.536743164083447e-07
4.452274933394958e-26,1.9073486328131916e-06
6.616006371733836e-26,9.536743164096729e-07
6.083715561847458e-26,1.907348632818645e-06
3.989364478641367e-26,2.011576477598064e-12
8.200929966091302e-26,9.5367431640726e-07
9.298463467210897e-26,1.3264141090960532e-12
8.289694401669058e-26,9.536743164145852e-07
3.0095805634290244e-25,9.536743164168366e-07
1.3535274564372945e-25,9.53674316424858e-07
7.186717933637134e-26,9.536743164249821e-07
1.0048009555586555e-25,1.9073486328140496e-06
3.334036366111189e-26,9.53674316408731e-07
8.95716265212228e-26,9.536743164073965e-07
1.3460751976288644e-25,1.482295011829285e-12
6.103521449839197e-26,2.8309221073131634e-12
7.930198161208199e-26,1.9073486328145502e-06
3.808911602866388e-26,1.9073486328143194e-06
6.964597640552535e-26,2.6760590276320193e-12
4.3265190265602603e-26,9.536743164106757e-07
1.586557638063202e-25,2.124225709514439e-12
1.0211837621118239e-25,2.661833827284843e-12
1.604448506503689e-25,3.814697265628798e-06
1.0161654550485115e-25,4.115680411996179e-12
1.1485433079962254e-25,1.907348632814163e-06
4.8037041659128586e-26,2.967313579606113e-12
8.867486962791337e-26,1.907348632814547e-06
5.965706900807052e-26,3.718929363147358e-12
1.1888874303966366e-25,5.510221120863589e-12
5.674091197534788e-26,9.536743164088351e-07
1.0543866787972632e-25,1.2512009961400929e-12
4.9989162613719035e-26,9.53674316409802e-07
6.286539125039716e-26,3.0949988796833437e-12
6.178484690694774e-26,9.536743164092663e-07
8.770646072584245e-26,9.536743164069374e-07
7.72355136707579e-26,3.2687437204526943e-12
1.4489811878982218e-25,9.536743164065507e-07
1.349689342873498e-25,1.9073486328201606e-06
6.01424487097063e-26,1.907348632813941e-06
4.9545942385234373e-26,2.8610229492210484e-06
3.37463781008554e-26,9.536743164224669e-07
9.724418581153303e-26,2.0996026869905133e-12
4.121188913693631e-26,3.396632107178966e-12
1.384983294662632e-25,9.53674316415783e-07
1.0554377791385368e-25,1.9073486328177736e-06
5.890912987712186e-26,9.536743164150765e-07
7.174556417891708e-26,9.53674316408806e-07
1.1273282594346368e-25,9.536743164109193e-07
2.1281499692831713e-26,1.9073486328160008e-06
8.37479916590719e-26,9.53674316409564e-07
5.529388117092655e-26,1.9073486328140352e-06
1.1440136498043329e-25,9.5367431640653e-07
1.2012876016029818e-25,9.536743164093849e-07
7.706222841290115e-26,9.536743164091231e-07
1.5717179732483242e-25,9.536743164087864e-07
5.427904397198279e-26,1.9073486328209453e-06
1.0667934270543684e-25,9.536743164130326e-07
7.856847472606109e-26,1.9073486328177253e-06
6.035619428902072e-26,2.8610229492200515e-06
5.213076888218995e-26,1.907348632813937e-06
3.6284856997402797e-26,9.53674316408827e-07
6.61979870112803e-26,2.207582068550822e-12
1.0108841102511846e-25,1.460679553734137e-12
1.8415670647340863e-25,1.425413192467967e-12
1.394377981894318e-25,9.536743164195226e-07
3.1961302776287875e-26,5.2201636169153765e-12
7.383134650128145e-26,9.536743164072076e-07
1.1855386705946198e-25,9.536743164066642e-07
9.070405204699661e-26,3.633312878219642e-12
1.2073441707585585e-25,3.946730716862479e-12
5.327128312113719e-26,9.536743164092337e-07
6.661373856763664e-26,4.075716735825006e-12
1.0999745797684712e-25,4.086825386357211e-12
2.7678342651724567e-25,1.7474729272434555e-12
7.933558581553065e-26,4.768371582040729e-06
6.33121789752143e-26,1.9073486328137553e-06
1.233500557556197e-25,1.9073486328142093e-06
2.9968841196785794e-26,9.53674316407128e-07
3.499175258081622e-26,9.536743164074172e-07
1.034929872348699e-25,9.536743164070648e-07
4.0034469746912236e-26,2.8610229492212526e-06
1.0369509470841989e-25,9.53674316408867e-07
9.226835436277213e-26,2.8610229492225544e-06
2.4472364246880952e-26,1.9073486328138303e-06
1.068118153892491e-25,1.907348632815361e-06
1.2026521085241056e-25,2.622393674451974e-12
7.43954883598474e-26,9.53674316407607e-07
7.412766574918249e-26,1.9073486328168508e-06
7.374086246063425e-26,2.2048359770928383e-12
1.502497933487073e-25,1.9073486328186046e-06
1.0286279474219271e-25,2.8610229492252624e-06
4.7681604932323105e-26,1.907348632836619e-06
7.221450905366892e-26,2.8610229492203454e-06
2.6048495499189454e-25,2.861022949221682e-06
2.6619578852238867e-25,6.445355049626043e-12
3.1905690769142066e-25,3.8146972656336245e-06
3.0424099883722086e-25,1.9073486328174166e-06
2.683385132746748e-25,3.814697265635945e-06
7.061204905827723e-26,4.7683715820404505e-06
2.0116301666826085e-25,2.1604238542044973e-12
9.76203774186807e-26,3.814697265626316e-06
6.659884207729579e-26,2.8610229492197923e-06
3.429927888411495e-26,9.536743164180822e-07
1.251239598198413e-25,9.5367431640888e-07
7.420827708774878e-26,2.959408361958849e-12
5.471250560973574e-26,2.3418177824071925e-12
7.568598477839979e-26,1.9073486328168135e-06
9.572149427146746e-26,9.536743164086365e-07
1.3287608062430513e-25,1.9073486328151872e-06
8.873831322695539e-26,9.536743164093141e-07
1.2252911039826915e-25,2.861022949224075e-06
7.898501514332265e-26,1.907348632818426e-06
1.2271141825272937e-25,3.6898998049920214e-12
7.099894652479976e-26,2.861022949219229e-06
4.3889299708550445e-26,2.8610229492195543e-06
2.697783925234336e-26,9.53674316406936e-07
5.307185519391883e-26,2.412666666453357e-12
2.036495333971297e-25,2.5980614013920876e-12
1.2538679793121714e-25,9.53674316419374e-07
1.8700740413251296e-25,9.536743164148775e-07
1.073217816088514e-25,2.861022949221522e-06
1.1261726687271954e-25,9.536743164108358e-07
5.929701120495648e-26,1.985912924129266e-12
8.58578484909271e-26,2.3652002873953352e-12
4.9915939431308913e-26,2.861022949220038e-06
2.1375165658636533e-26,9.536743164074723e-07
7.533281400447038e-26,2.511906756115297e-12
7.743961303735287e-26,2.8610229492225362e-06
5.0756381555265476e-26,8.321544539715746e-13
5.040376438989858e-26,9.536743164071241e-07
8.627472835334137e-26,2.5170468699569257e-12
2.7873161510807567e-25,9.53674316415143e-07
1.0584768349610217e-25,8.27706350140459e-12
4.834557005102258e-26,3.814697265627465e-06
6.962393962621218e-26,1.907348632812961e-06
1.5458112100826377e-25,1.9073486328129214e-06
1.076477403408176e-25,9.536743164086175e-07
3.082147330173236e-26,1.9073486328192894e-06
1.3677283451786225e-25,9.536743164065833e-07
1.1501447052634738e-25,2.861022949219684e-06
5.094863308232506e-26,9.536743164086695e-07
1.0114377255544535e-25,9.536743164214712e-07
7.42251278192042e-26,9.536743164163072e-07
2.478450076259961e-25,2.2118317724950573e-12
1.0953116443355321e-25,9.53674316435233e-07
7.309813640106497e-26,9.536743164201968e-07
3.393216630331812e-26,2.3881002036432625e-12
5.352430130091258e-26,9.536743164148974e-07
2.766224108775821e-26,9.536743164139012e-07
1.22144121624618e-25,9.536743164135828e-07
1.8463733028363974e-25,1.4324090407574377e-12
1.5588989575384285e-25,2.8610229492253065e-06
1.094191226886665e-25,3.3999302850208244e-12
4.1891908615059207e-26,9.536743164113267e-07
7.998291542544599e-26,1.907348632813561e-06
1.1619808149225316e-25,9.536743164083943e-07
8.350381089773582e-26,9.536743164091117e-07
4.75276630407523e-26,3.145963569755102e-12
9.421052057066603e-26,1.547156839901395e-12
8.497587590253927e-26,9.536743164070233e-07
8.532596441818568e-26,9.53674316409085e-07
6.155470694527821e-26,9.536743164085616e-07
1.1177655800746568e-25,9.536743164178145e-07
8.495623623193138e-26,9.536743164115224e-07
1.0610881610021575e-25,9.536743164064817e-07
1.0029293281720153e-25,9.536743164086136e-07
1.7169939398487497e-25,2.8610229492222406e-06
1.283617648718321e-25,1.907348632817022e-06
7.34174027190674e-26,2.8610229492196224e-06
4.9535130792305566e-26,9.536743164108197e-07
7.641286675430149e-26,3.8146972656277825e-06
7.172224386359247e-26,9.536743164161997e-07
8.705038171248626e-26,9.536743164070704e-07
5.1686471866273376e-26,6.030829574093259e-13
5.226967600164989e-26,9.53674316408775e-07
1.2013086549061689e-25,9.536743164141261e-07
2.8908558406723305e-26,9.536743164171759e-07
9.620194253318413e-26,1.9073486328137235e-06
8.707862499363821e-26,1.5096316109393358e-12
4.552819685404248e-26,2.9783524148477182e-12
